"lganame","n_cells","mean_dist_km","min_dist_km","max_dist_km","mean_mmr"
"Takai",2,25.6293131789696,22.0116575297711,29.2469688281681,58.2751066458598
"Wudil",2,25.6090087262911,25.5652773420905,25.6527401104917,17.9874234163991
"Warawa",1,22.0741761752125,22.0741761752125,22.0741761752125,72.4040162841882
"Rano",1,21.3910717124507,21.3910717124507,21.3910717124507,6.31848484645602
"Gezawa",1,20.9812674488397,20.9812674488397,20.9812674488397,32.705813659051
"Kura",2,20.8845356256224,18.0127579406277,23.7563133106171,25.9034557303753
"Kunchi",1,19.9078817241644,19.9078817241644,19.9078817241644,127.499874001166
"Bunkure",2,19.47181324194,11.0795489170043,27.8640775668758,19.1918744356812
"Dawakin Kudu",5,14.5760252681893,8.05695632199144,24.3370010059456,41.1670914625679
"Shanono",1,14.1093646859721,14.1093646859721,14.1093646859721,44.1489201095022
"Tofa",5,13.9681926182572,10.4905817306606,17.4460721950657,29.846065247868
"Makoda",1,13.3644798609786,13.3644798609786,13.3644798609786,34.8857244963506
"Tudun Wada",2,12.1102162421025,8.51196493888762,15.7084675453174,39.2655401453156
"Garko",2,11.1339383073691,9.764424173166,12.5034524415722,59.08603350579
"Kabo",1,11.094927785022,11.094927785022,11.094927785022,21.8011851125296
"Gaya",1,10.3545465030988,10.3545465030988,10.3545465030988,67.8954460335107
"Bagwai",2,10.1478299718349,8.41217499875409,11.8834849449157,26.2838562835668
"Gabasawa",3,8.21523335603109,1.9136924314198,16.6562989175667,91.2478041612267
"Rimin Gado",3,8.15425726370221,6.30611595630296,11.7896118712623,21.7939769613473
"Ungogo",3,7.22965803351504,1.03481499187428,11.4742323356781,9.33628915893309
"Tsanyawa",2,6.78911849351864,5.50923252226894,8.06900446476835,56.0477139073742
"Albasu",1,6.37475017975855,6.37475017975855,6.37475017975855,24.3394420053375
"Sumaila",4,6.19249301329921,1.69901546843439,11.5590641144712,33.5330100835647
"Kibiya",1,6.09135069496178,6.09135069496178,6.09135069496178,96.5197129503805
"Bichi",1,5.02444223971426,5.02444223971426,5.02444223971426,17.0398440204969
"Kumbotso",4,4.29133532413245,3.08853426409045,5.60323157378333,6.18934790399607
"Dambatta",3,3.85542907621764,1.91332164542067,6.75321642461561,62.9639875754773
"Fagge",1,3.45662304647227,3.45662304647227,3.45662304647227,1.43360783636014
"Nassarawa",1,2.76088562519158,2.76088562519158,2.76088562519158,6.91170017596847
"Gwale",2,2.68038021366656,0.22608651165918,5.13467391567394,3.61660862006951
"Tarauni",1,2.66537947870831,2.66537947870831,2.66537947870831,4.23857180607865
"Bebeji",1,2.176856643002,2.176856643002,2.176856643002,44.5993510007692
"Gwarzo",1,1.98925058668154,1.98925058668154,1.98925058668154,23.0930743011627
"Kiru",3,1.89645801164215,1.05849011121386,3.48560827407606,32.1035423502031
"Rogo",1,1.38728616246789,1.38728616246789,1.38728616246789,49.7049165559176
"Karaye",1,0.937078286072009,0.937078286072009,0.937078286072009,31.1266918974964
